ID,SETUP,PUNCH,PIADA,len_setup,len_punch,len_piadas,ratio_setup_punch,setup_limpo,punch_limpo,n_palavras_setup,n_palavras_punch,carac_nao_alfab_setup,carac_nao_alfab_punch,tem_pergunta,tem_dialogo,diversidade_lexical
150,O que o cachorro foi fazer na igreja?, Foi confessar que aprontou todas.,O que o cachorro foi fazer na igreja? Foi confessar que aprontou todas.,37,34,71,1.0571428571428572,o que o cachorro foi fazer na igreja?,foi confessar que aprontou todas.,8,5,1,1,True,False,0.7777777777777778
151,Por que a cenoura não é vaidosa?," Porque ela não se maquia, só rala!","Por que a cenoura não é vaidosa? Porque ela não se maquia, só rala!",32,35,67,0.8888888888888888,por que a cenoura nao e vaidosa?,porque ela nao se maquia so rala!,7,7,1,1,True,False,0.875
152,"Um homem condenado à morte começa a conversar com uma padre antes de sua execução: -Meu filho, ainda que pecador, vim trazer a palavra do Pai para você!"," -Ô, padre! Precisa não, daqui a pouco vou encontrá-lo pessoalmente.","Um homem condenado à morte começa a conversar com uma padre antes de sua execução: -Meu filho, ainda que pecador, vim trazer a palavra do Pai para você! -Ô, padre! Precisa não, daqui a pouco vou encontrá-lo pessoalmente.",152,68,220,2.2028985507246377,um homem condenado a morte comeca a conversar com uma padre antes de sua execucao -meu filho ainda que pecador vim trazer a palavra do pai para voce!,-o padre! precisa nao daqui a pouco vou encontra-lo pessoalmente.,28,10,2,4,False,True,0.896551724137931
153,Qual a cidade que todos os habitantes andam de carro?, Uberlândia!,Qual a cidade que todos os habitantes andam de carro? Uberlândia!,53,12,65,4.076923076923077,qual a cidade que todos os habitantes andam de carro?,uberlandia!,10,1,1,1,True,False,0.9090909090909091
154,"Todo mundo tenta conversar com a planta, mas por que ela não responde?", Porque ela é mudinha!,"Todo mundo tenta conversar com a planta, mas por que ela não responde? Porque ela é mudinha!",70,22,92,3.0434782608695654,todo mundo tenta conversar com a planta mas por que ela nao responde?,porque ela e mudinha!,13,4,1,1,True,False,0.9285714285714286
155,Como o Batman faz para abrir a batcaverna?, Ele bat-palma!,Como o Batman faz para abrir a batcaverna? Ele bat-palma!,42,15,57,2.625,como o batman faz para abrir a batcaverna?,ele bat-palma!,8,2,1,2,True,False,0.8888888888888888
156,Sabe por que um canguru consegue pular mais alto que um prédio?, Porque prédio não pula!,Sabe por que um canguru consegue pular mais alto que um prédio? Porque prédio não pula!,63,24,87,2.52,sabe por que um canguru consegue pular mais alto que um predio?,porque predio nao pula!,12,4,1,1,True,False,0.7692307692307693
157,Por que a batata e o pão não conseguem conversar?, Porque a batata é inglesa e o pão francês.,Por que a batata e o pão não conseguem conversar? Porque a batata é inglesa e o pão francês.,49,43,92,1.1136363636363635,por que a batata e o pao nao conseguem conversar?,porque a batata e inglesa e o pao frances.,10,9,1,1,True,False,0.9090909090909091
158,"Quem é mais velho, o sol ou a lua?"," A lua, porque já pode sair à noite.","Quem é mais velho, o sol ou a lua? A lua, porque já pode sair à noite.",34,36,70,0.918918918918919,quem e mais velho o sol ou a lua?,a lua porque ja pode sair a noite.,9,8,1,1,True,False,0.9
159,Por que o homem jogou o computador no mar?, Para conseguir navegar na internet!,Por que o homem jogou o computador no mar? Para conseguir navegar na internet!,42,36,78,1.135135135135135,por que o homem jogou o computador no mar?,para conseguir navegar na internet!,9,5,1,1,True,False,0.8
160,Por que o fantasma entrou no elevador?, Para elevar o espírito.,Por que o fantasma entrou no elevador? Para elevar o espírito.,38,24,62,1.52,por que o fantasma entrou no elevador?,para elevar o espirito.,7,4,1,1,True,False,0.875
161,Qual animal faz cocô e coloca a culpa nos outros?, A cacatua.,Qual animal faz cocô e coloca a culpa nos outros? A cacatua.,49,11,60,4.083333333333333,qual animal faz coco e coloca a culpa nos outros?,a cacatua.,10,2,1,1,True,False,0.9090909090909091
162,O que o martelo foi fazer no culto?, Pregar.,O que o martelo foi fazer no culto? Pregar.,35,8,43,3.888888888888889,o que o martelo foi fazer no culto?,pregar.,8,1,1,1,True,False,0.7777777777777778
163,Por que o jacaré tirou o jacarézinho da escola?, Porque ele réptil de ano!,Por que o jacaré tirou o jacarézinho da escola? Porque ele réptil de ano!,47,26,73,1.7407407407407407,por que o jacare tirou o jacarezinho da escola?,porque ele reptil de ano!,9,5,1,1,True,False,0.8
164,O que o pagodeiro foi fazer no culto?," Canta \pá god\"".""","O que o pagodeiro foi fazer no culto? Canta \pá god\"".""",37,18,55,1.9473684210526316,o que o pagodeiro foi fazer no culto?,canta pa god.,8,3,1,1,True,False,0.7777777777777778
165,O que a Xuxa foi fazer no bar?, Beber caSasha (com a Sasha).,O que a Xuxa foi fazer no bar? Beber caSasha (com a Sasha).,30,29,59,1.0,o que a xuxa foi fazer no bar?,beber casasha com a sasha.,8,5,1,1,True,False,0.8888888888888888
166,"O que o vidro disse para a \vidra\""?""", Estou vidrado em você.,"O que o vidro disse para a \vidra\""? Estou vidrado em você.""",37,23,60,1.5416666666666667,o que o vidro disse para a vidra?,estou vidrado em voce.,8,4,1,1,True,False,0.7777777777777778
167,Por que o feijão vive chorando pelos cantos?, Pois ele é cozido na panela depressão.,Por que o feijão vive chorando pelos cantos? Pois ele é cozido na panela depressão.,44,39,83,1.1,por que o feijao vive chorando pelos cantos?,pois ele e cozido na panela depressao.,8,7,1,1,True,False,0.8888888888888888
168,"Um barco com três homens virou, porém, só dois molharam o cabelo, por quê?", Um deles é careca!,"Um barco com três homens virou, porém, só dois molharam o cabelo, por quê? Um deles é careca!",74,19,93,3.7,um barco com tres homens virou porem so dois molharam o cabelo por que?,um deles e careca!,14,4,1,1,True,False,0.9333333333333333
169,"Dois caminhões caíram de um penhasco, mas um continuou voando, por quê? ",Porque ele é um caminhão-pipa.,"Dois caminhões caíram de um penhasco, mas um continuou voando, por quê? Porque ele é um caminhão-pipa.",72,30,102,2.3225806451612905,dois caminhoes cairam de um penhasco mas um continuou voando por que?,porque ele e um caminhao-pipa.,12,5,1,2,True,False,0.8461538461538461
170,"Um caipira está assistindo televisão, quando um amigo chega e pergunta:"," -Firme? -Não, rapá! Futebor!","Um caipira está assistindo televisão, quando um amigo chega e pergunta: -Firme? -Não, rapá! Futebor!",71,29,100,2.3666666666666667,um caipira esta assistindo televisao quando um amigo chega e pergunta,-firme? -nao rapa! futebor!,11,4,0,5,False,False,0.8333333333333334
171,Por que o bombeiro não caminha?, Porque ele socorre (só corre).,Por que o bombeiro não caminha? Porque ele socorre (só corre).,31,31,62,0.96875,por que o bombeiro nao caminha?,porque ele socorre so corre.,6,5,1,1,True,False,0.8571428571428571
172,Joãozinho chega desesperado para a mãe: -Mamãe! Mamãe! Tem um mentiroso na escola! A mão olha de cima a baixo para o menino e responde:, -Só pode ser você! Nem na escola você está ainda.,Joãozinho chega desesperado para a mãe: -Mamãe! Mamãe! Tem um mentiroso na escola! A mão olha de cima a baixo para o menino e responde: -Só pode ser você! Nem na escola você está ainda.,135,50,185,2.6470588235294117,joaozinho chega desesperado para a mae -mamae! mamae! tem um mentiroso na escola! a mao olha de cima a baixo para o menino e responde,-so pode ser voce! nem na escola voce esta ainda.,25,10,4,3,False,True,0.8461538461538461
173,Qual a fórmula química da água benta?, H Deus O.,Qual a fórmula química da água benta? H Deus O.,37,10,47,3.3636363636363638,qual a formula quimica da agua benta?,h deus o.,7,3,1,1,True,False,0.875
174,Como é a piada do pintinho caipira?, Pir!,Como é a piada do pintinho caipira? Pir!,35,5,40,5.833333333333333,como e a piada do pintinho caipira?,pir!,7,1,1,1,True,False,0.875
175,O que a vaca disse para o boi?, Te amuuuuuuu!,O que a vaca disse para o boi? Te amuuuuuuu!,30,14,44,2.0,o que a vaca disse para o boi?,te amuuuuuuu!,8,2,1,1,True,False,0.7777777777777778
176,-Queria muito comemorar meu aniversário neste mês de novembro? -E o que falta?, -É que nasci em maio!,-Queria muito comemorar meu aniversário neste mês de novembro? -E o que falta? -É que nasci em maio!,78,22,100,3.391304347826087,-queria muito comemorar meu aniversario neste mes de novembro? -e o que falta?,-e que nasci em maio!,13,5,4,2,True,True,0.9285714285714286
177,O que o pato falou para a pata?," Vem \quá\""!""","O que o pato falou para a pata? Vem \quá\""!""",31,13,44,2.2142857142857144,o que o pato falou para a pata?,vem qua!,8,2,1,1,True,False,0.7777777777777778
178,"A plantinha se machucou, porém, nenhum especialista quis atender seu caso, por quê?", Porque só tinha médico de plantão.,"A plantinha se machucou, porém, nenhum especialista quis atender seu caso, por quê? Porque só tinha médico de plantão.",83,35,118,2.3055555555555554,a plantinha se machucou porem nenhum especialista quis atender seu caso por que?,porque so tinha medico de plantao.,13,6,1,1,True,False,0.9285714285714286
179,Por que a formiga só tem quatro patas?," Pois se tivesse 5, seria \fivemiga\"".""","Por que a formiga só tem quatro patas? Pois se tivesse 5, seria \fivemiga\"".""",38,39,77,0.95,por que a formiga so tem quatro patas?,pois se tivesse 5 seria fivemiga.,8,6,1,2,True,False,0.8888888888888888
180,Por que a banana acaba em segundo em todas as competições?, Porque ela é banana prata!,Por que a banana acaba em segundo em todas as competições? Porque ela é banana prata!,58,27,85,2.0714285714285716,por que a banana acaba em segundo em todas as competicoes?,porque ela e banana prata!,11,5,1,1,True,False,0.8333333333333334
181,Quando os americanos comeram carne pela primeira vez?," Quando chegou Cristóvão \Com Lombo\"".""","Quando os americanos comeram carne pela primeira vez? Quando chegou Cristóvão \Com Lombo\"".""",53,39,92,1.325,quando os americanos comeram carne pela primeira vez?,quando chegou cristovao com lombo.,8,5,1,1,True,False,0.8888888888888888
182,"- Sabes Joaquim, o doutor me disse para beber um pouco de suco de limão depois de um banho quente. - E tu bebeste o suco de limão, Manuel?", - que nada! Não consegui nem acabar de beber toda aquela água quente.,"- Sabes Joaquim, o doutor me disse para beber um pouco de suco de limão depois de um banho quente. - E tu bebeste o suco de limão, Manuel? - que nada! Não consegui nem acabar de beber toda aquela água quente.",138,70,208,1.943661971830986,- sabes joaquim o doutor me disse para beber um pouco de suco de limao depois de um banho quente. - e tu bebeste o suco de limao manuel?,- que nada! nao consegui nem acabar de beber toda aquela agua quente.,29,13,4,3,True,True,0.7
183,"- Admites que é culpado? - pergunta o juiz ao português - Não Sr. Dr. Juiz. - Tens um álibi? - O que é um álibi? - Bem, alguém que o viu cometer o ato?"," - Ninguém, graças a Deus!","- Admites que é culpado? - pergunta o juiz ao português - Não Sr. Dr. Juiz. - Tens um álibi? - O que é um álibi? - Bem, alguém que o viu cometer o ato? - Ninguém, graças a Deus!",151,26,177,5.592592592592593,- admites que e culpado? - pergunta o juiz ao portugues - nao sr. dr. juiz. - tens um alibi? - o que e um alibi? - bem alguem que o viu cometer o ato?,- ninguem gracas a deus!,35,5,13,2,True,True,0.6111111111111112
184,- Aquele quadro que está naquela parede é de Rembrandt?, - Era! Agora é meu. Comprei-o por um dinheirão.,- Aquele quadro que está naquela parede é de Rembrandt? - Era! Agora é meu. Comprei-o por um dinheirão.,55,48,103,1.1224489795918366,- aquele quadro que esta naquela parede e de rembrandt?,- era! agora e meu. comprei-o por um dinheirao.,10,9,2,5,True,True,0.9090909090909091
185,"Chegou um arqueiro americano, botou uma maçã na cabeça de um cobaia e atirou... Acertou em cheio na maçã, então exclamou comemorando: - I’M HE-MAN ! Depois veio um Japonês e acertou na flecha do americano dividindo a flecha ao meio e exclamou: - I’M SAMURAI !"," Então veio um Português, mirou, e acertou em cheio no olho do cobaia, desfigurando a cabeça do coitado então ele exclamou: - I’M SORRY !!!","Chegou um arqueiro americano, botou uma maçã na cabeça de um cobaia e atirou... Acertou em cheio na maçã, então exclamou comemorando: - I’M HE-MAN ! Depois veio um Japonês e acertou na flecha do americano dividindo a flecha ao meio e exclamou: - I’M SAMURAI ! Então veio um Português, mirou, e acertou em cheio no olho do cobaia, desfigurando a cabeça do coitado então ele exclamou: - I’M SORRY !!!",259,139,398,1.85,chegou um arqueiro americano botou uma maca na cabeca de um cobaia e atirou... acertou em cheio na maca entao exclamou comemorando - im he-man ! depois veio um japones e acertou na flecha do americano dividindo a flecha ao meio e exclamou - im samurai !,entao veio um portugues mirou e acertou em cheio no olho do cobaia desfigurando a cabeca do coitado entao ele exclamou - im sorry !!!,47,25,8,4,False,True,0.6875
186,Como os portugas se banham?, Mijando contra o vento.,Como os portugas se banham? Mijando contra o vento.,27,24,51,1.08,como os portugas se banham?,mijando contra o vento.,5,4,1,1,True,False,0.8333333333333334
187,"Dois portugueses resolveram vir de Lisboa até aqui a nado e no 1o terço do caminho: - Estás cansado Joaquim? - Não Manuel! - Então vamos continuar! E continuaram até chegar no meio do caminho! - Estás cansado Joaquim? - Um pouquito Manuel! - Pois vamos continuar! E no finalzinho, já aqui na Baia de Guanabara: - E aí! Estás cansado Joaquim? - Demais, Manuel!", - Então vamos voltar!,"Dois portugueses resolveram vir de Lisboa até aqui a nado e no 1o terço do caminho: - Estás cansado Joaquim? - Não Manuel! - Então vamos continuar! E continuaram até chegar no meio do caminho! - Estás cansado Joaquim? - Um pouquito Manuel! - Pois vamos continuar! E no finalzinho, já aqui na Baia de Guanabara: - E aí! Estás cansado Joaquim? - Demais, Manuel! - Então vamos voltar!",359,22,381,15.608695652173912,dois portugueses resolveram vir de lisboa ate aqui a nado e no 1o terco do caminho - estas cansado joaquim? - nao manuel! - entao vamos continuar! e continuaram ate chegar no meio do caminho! - estas cansado joaquim? - um pouquito manuel! - pois vamos continuar! e no finalzinho ja aqui na baia de guanabara - e ai! estas cansado joaquim? - demais manuel!,- entao vamos voltar!,65,4,19,2,True,True,0.5909090909090909
188,"E o Manuel entra com tudo numa contramão. Da azar e é parado por um guarda, no ato: - Onde o senhor pensa que vai? - Bem, seu guarda, eu estava a ire ao cinema, mas parece que me atrasei.", Esta todo mundo a voltaire!,"E o Manuel entra com tudo numa contramão. Da azar e é parado por um guarda, no ato: - Onde o senhor pensa que vai? - Bem, seu guarda, eu estava a ire ao cinema, mas parece que me atrasei. Esta todo mundo a voltaire!",187,28,215,6.448275862068965,e o manuel entra com tudo numa contramao. da azar e e parado por um guarda no ato - onde o senhor pensa que vai? - bem seu guarda eu estava a ire ao cinema mas parece que me atrasei.,esta todo mundo a voltaire!,40,5,5,1,True,True,0.8292682926829268
189,"Em Lisboa, após um incêndio num pequeno prédio, os bombeiros, verificando os destroços, encontram apenas um morto. E justamente o avô do Manuel, que estava de cabeça para baixo, com o dedo indicador apontando para um dos cantos do ambiente."," Ao seu lado, um extintor de incêndio, com a seguinte instrução: 'Em caso de incêndio, vire de cabeça para baixo e aponte para a chama'.","Em Lisboa, após um incêndio num pequeno prédio, os bombeiros, verificando os destroços, encontram apenas um morto. E justamente o avô do Manuel, que estava de cabeça para baixo, com o dedo indicador apontando para um dos cantos do ambiente. Ao seu lado, um extintor de incêndio, com a seguinte instrução: 'Em caso de incêndio, vire de cabeça para baixo e aponte para a chama'.",240,136,376,1.7518248175182483,em lisboa apos um incendio num pequeno predio os bombeiros verificando os destrocos encontram apenas um morto. e justamente o avo do manuel que estava de cabeca para baixo com o dedo indicador apontando para um dos cantos do ambiente.,ao seu lado um extintor de incendio com a seguinte instrucao em caso de incendio vire de cabeca para baixo e aponte para a chama.,40,25,2,1,False,False,0.8292682926829268
190,"- És um vagabundo, um parasita, um inútil! - Vagabundo e isso tudo és tu! - Eu? Olha que como o pão com o suor do meu rosto!", - Não discuto teu gosto! Mas prefiro meu pão com manteiga.,"- És um vagabundo, um parasita, um inútil! - Vagabundo e isso tudo és tu! - Eu? Olha que como o pão com o suor do meu rosto! - Não discuto teu gosto! Mas prefiro meu pão com manteiga.",124,59,183,2.066666666666667,- es um vagabundo um parasita um inutil! - vagabundo e isso tudo es tu! - eu? olha que como o pao com o suor do meu rosto!,- nao discuto teu gosto! mas prefiro meu pao com manteiga.,28,11,7,3,True,True,0.7241379310344828
191,"Estava um grupo de amigos reunido na comemoração de bodas de ouro do casal Manuel e Maria, quando um dos convidados começa a contar uma piada: - Aí o português... No que foi prontamente interrompido pelos demais: - Não conta essa não, que aqui na festa está cheio de português!"," - Não tem problema, eu repito, repito até eles entenderem...","Estava um grupo de amigos reunido na comemoração de bodas de ouro do casal Manuel e Maria, quando um dos convidados começa a contar uma piada: - Aí o português... No que foi prontamente interrompido pelos demais: - Não conta essa não, que aqui na festa está cheio de português! - Não tem problema, eu repito, repito até eles entenderem...",277,61,338,4.467741935483871,estava um grupo de amigos reunido na comemoracao de bodas de ouro do casal manuel e maria quando um dos convidados comeca a contar uma piada - ai o portugues... no que foi prontamente interrompido pelos demais - nao conta essa nao que aqui na festa esta cheio de portugues!,- nao tem problema eu repito repito ate eles entenderem...,50,10,6,4,False,True,0.8235294117647058
192,"- Garçom, ofereça um drinque àquela moça - Pediu o galante português. - Não adianta, é perda de tempo - ponderou o garçom. Meia hora depois, o português volta à carga. O garçom reluta, hesita, mas o português insiste. O garçom perde a paciência e resolve encerrar o assunto: - Companheiro, não adianta, não vai dar em nada. Ela é lésbica.", - De que região da Lésbia?,"- Garçom, ofereça um drinque àquela moça - Pediu o galante português. - Não adianta, é perda de tempo - ponderou o garçom. Meia hora depois, o português volta à carga. O garçom reluta, hesita, mas o português insiste. O garçom perde a paciência e resolve encerrar o assunto: - Companheiro, não adianta, não vai dar em nada. Ela é lésbica. - De que região da Lésbia?",338,27,365,12.071428571428571,- garcom ofereca um drinque aquela moca - pediu o galante portugues. - nao adianta e perda de tempo - ponderou o garcom. meia hora depois o portugues volta a carga. o garcom reluta hesita mas o portugues insiste. o garcom perde a paciencia e resolve encerrar o assunto - companheiro nao adianta nao vai dar em nada. ela e lesbica.,- de que regiao da lesbia?,61,6,11,2,False,True,0.6774193548387096
193,"- Haha, como os brasileiros são burros, acreditam em tudo!", Eu disse a um deles que eu era paneleiro ele acreditou e veio me comendo no avião até Lisboa.,"- Haha, como os brasileiros são burros, acreditam em tudo! Eu disse a um deles que eu era paneleiro ele acreditou e veio me comendo no avião até Lisboa.",58,94,152,0.6105263157894737,- haha como os brasileiros sao burros acreditam em tudo!,eu disse a um deles que eu era paneleiro ele acreditou e veio me comendo no aviao ate lisboa.,10,19,2,1,False,True,0.9090909090909091
194,- Havia muita gente no concerto ontem? - A senhora nem imagina o número de pessoas que lá estavam a assisti-lo! Uma verdadeira loucura! - Ah! Sim?, - Imaginas que o maestro teve que ficar de pé!,- Havia muita gente no concerto ontem? - A senhora nem imagina o número de pessoas que lá estavam a assisti-lo! Uma verdadeira loucura! - Ah! Sim? - Imaginas que o maestro teve que ficar de pé!,146,47,193,3.0416666666666665,- havia muita gente no concerto ontem? - a senhora nem imagina o numero de pessoas que la estavam a assisti-lo! uma verdadeira loucura! - ah! sim?,- imaginas que o maestro teve que ficar de pe!,27,10,9,2,True,True,0.8571428571428571
195,- Imaginas que ontem a noite telefonou-me o primeiro ministro? - Pô! Tens relações com pessoas importantes! E que te disse o primeiro ministro?," - 'Desculpa, enganei-me de número'.","- Imaginas que ontem a noite telefonou-me o primeiro ministro? - Pô! Tens relações com pessoas importantes! E que te disse o primeiro ministro? - 'Desculpa, enganei-me de número'.",143,36,179,3.864864864864865,- imaginas que ontem a noite telefonou-me o primeiro ministro? - po! tens relacoes com pessoas importantes! e que te disse o primeiro ministro?,- desculpa enganei-me de numero.,24,5,7,3,True,True,0.76
196,"- Joãozinho, por que é que quando eu pergunto se você tinha ido à aula você fechou os olhos?", - É porque a professora costuma dizer que vê nos meus olhos quando minto.,"- Joãozinho, por que é que quando eu pergunto se você tinha ido à aula você fechou os olhos? - É porque a professora costuma dizer que vê nos meus olhos quando minto.",92,74,166,1.2266666666666666,- joaozinho por que e que quando eu pergunto se voce tinha ido a aula voce fechou os olhos?,- e porque a professora costuma dizer que ve nos meus olhos quando minto.,19,14,2,2,True,True,0.85
197,"Joaquim José estava a querer mandar um presente do Brasil para Maria, sua esposa além-mar. Passeando pelas ruas do Rio, encontrou uma caixa de fósforos tamanho família. Empacotou e mandou para Portugal. Meses após no telefone... - Oh Maria, gostaire do presente que te mandei? - Oh Joaquim José, gostaire eu gostei, mas todos os fósforos não funcionam!", - Oh Maria! Não estás a saber usaire! Testei todos antes de te mandar! Acendi um por um e todos funcionaram!!!,"Joaquim José estava a querer mandar um presente do Brasil para Maria, sua esposa além-mar. Passeando pelas ruas do Rio, encontrou uma caixa de fósforos tamanho família. Empacotou e mandou para Portugal. Meses após no telefone... - Oh Maria, gostaire do presente que te mandei? - Oh Joaquim José, gostaire eu gostei, mas todos os fósforos não funcionam! - Oh Maria! Não estás a saber usaire! Testei todos antes de te mandar! Acendi um por um e todos funcionaram!!!",352,111,463,3.142857142857143,joaquim jose estava a querer mandar um presente do brasil para maria sua esposa alem-mar. passeando pelas ruas do rio encontrou uma caixa de fosforos tamanho familia. empacotou e mandou para portugal. meses apos no telefone... - oh maria gostaire do presente que te mandei? - oh joaquim jose gostaire eu gostei mas todos os fosforos nao funcionam!,- oh maria! nao estas a saber usaire! testei todos antes de te mandar! acendi um por um e todos funcionaram!!!,58,21,11,7,True,True,0.7966101694915254
198,"Lançaram o cinema 180 graus em Portugal. Foi a maior festa na entrada para a primeira sessão. Mas no fim do filme ninguém saía, aí Manuel, o dono, foi ver e estavam todos mortos... Fez então uma segunda sessão, e no fim também estavam todos mortos... Tentou uma terceira, e não deu certo, todos morreram..."," Aí, Manuel comentou: - É assim não dá...vou ter que diminuir a temperatura...","Lançaram o cinema 180 graus em Portugal. Foi a maior festa na entrada para a primeira sessão. Mas no fim do filme ninguém saía, aí Manuel, o dono, foi ver e estavam todos mortos... Fez então uma segunda sessão, e no fim também estavam todos mortos... Tentou uma terceira, e não deu certo, todos morreram... Aí, Manuel comentou: - É assim não dá...vou ter que diminuir a temperatura...",306,78,384,3.8734177215189876,lancaram o cinema 180 graus em portugal. foi a maior festa na entrada para a primeira sessao. mas no fim do filme ninguem saia ai manuel o dono foi ver e estavam todos mortos... fez entao uma segunda sessao e no fim tambem estavam todos mortos... tentou uma terceira e nao deu certo todos morreram...,ai manuel comentou - e assim nao da...vou ter que diminuir a temperatura...,55,13,14,7,False,False,0.7678571428571429
199,"Manuel e Joaquim passeavam pela rua, quando encontraram uma bosta no chão: - Manuel! Te dou 1.000 Reais se tu comeres esta bosta... - Então esta combinado, Joaquim... Manuel foi lá e comeu a bosta, ganhando os 1.000 reais... Continuaram andando quando encontraram outra bosta no chão: - Joaquim! Agora sou eu quem te dou os 1.000 Reais se tu comeres esta bosta... - Então está beleza!!! O Joaquim se abaixou e comeu a bosta também...", MORAL: Os dois portugueses comeram bosta de graça...,"Manuel e Joaquim passeavam pela rua, quando encontraram uma bosta no chão: - Manuel! Te dou 1.000 Reais se tu comeres esta bosta... - Então esta combinado, Joaquim... Manuel foi lá e comeu a bosta, ganhando os 1.000 reais... Continuaram andando quando encontraram outra bosta no chão: - Joaquim! Agora sou eu quem te dou os 1.000 Reais se tu comeres esta bosta... - Então está beleza!!! O Joaquim se abaixou e comeu a bosta também... MORAL: Os dois portugueses comeram bosta de graça...",433,53,486,8.018518518518519,manuel e joaquim passeavam pela rua quando encontraram uma bosta no chao - manuel! te dou 1.000 reais se tu comeres esta bosta... - entao esta combinado joaquim... manuel foi la e comeu a bosta ganhando os 1.000 reais... continuaram andando quando encontraram outra bosta no chao - joaquim! agora sou eu quem te dou os 1.000 reais se tu comeres esta bosta... - entao esta beleza!!! o joaquim se abaixou e comeu a bosta tambem...,moral os dois portugueses comeram bosta de graca...,76,8,39,3,False,True,0.5844155844155844
200,"- Maria, por que é que estás a dar açúcar às galinhas?", - Para ver se elas põem ovos de páscoa!,"- Maria, por que é que estás a dar açúcar às galinhas? - Para ver se elas põem ovos de páscoa!",54,40,94,1.3170731707317074,- maria por que e que estas a dar acucar as galinhas?,- para ver se elas poem ovos de pascoa!,12,9,2,2,True,True,0.8461538461538461
201,"No elevador, estão o Manuel e um casal desconhecido. De repente, nosso amigo d’além-mar solta um estrondoso pum. O outro, claro, chia: - O senhor não tem vergonha? Fazer isso na frente de minha mulher?", - Oh! Desculpe-me! Eu não sabia que era a vez dela.,"No elevador, estão o Manuel e um casal desconhecido. De repente, nosso amigo d’além-mar solta um estrondoso pum. O outro, claro, chia: - O senhor não tem vergonha? Fazer isso na frente de minha mulher? - Oh! Desculpe-me! Eu não sabia que era a vez dela.",201,52,253,3.792452830188679,no elevador estao o manuel e um casal desconhecido. de repente nosso amigo dalem-mar solta um estrondoso pum. o outro claro chia - o senhor nao tem vergonha? fazer isso na frente de minha mulher?,- oh! desculpe-me! eu nao sabia que era a vez dela.,35,11,6,5,True,True,0.8611111111111112
202,O amigo do Manuel o convida: - Oh gajo. Estou a lhe convidaire para a festa de quinze anos de minha filha., - Está bem patrício. Eu irei. Mas ficarei no máximo uns dois anos.,O amigo do Manuel o convida: - Oh gajo. Estou a lhe convidaire para a festa de quinze anos de minha filha. - Está bem patrício. Eu irei. Mas ficarei no máximo uns dois anos.,106,67,173,1.5588235294117647,o amigo do manuel o convida - oh gajo. estou a lhe convidaire para a festa de quinze anos de minha filha.,- esta bem patricio. eu irei. mas ficarei no maximo uns dois anos.,22,13,3,4,False,True,0.8260869565217391
203,"O Joaquim quando mandou trazer a Maria, pelo correio, para o Brasil. Abriu um boteco na praça Mauá e colocou a Maria para morar lá perto. Um belo dia... - JOAQUIMM!! JOAQUIM JOSÉ!!! Tua esposa está na tua casa na cama com outro cara!!! Corra lá! - O que esta gaja prostituta está a fazer com este paneleiro! Vou pegar a peixeira e a garrucha e vou lá acabar com isso de uma vez!!! E lá foi o gajo... 5 minutos depois volta o gajo feliz e contente... - Joaquim! Você matou o cara?!?"," - Não... O gajo se enganou... Não era outro, mas o mesmo de sempre!!!","O Joaquim quando mandou trazer a Maria, pelo correio, para o Brasil. Abriu um boteco na praça Mauá e colocou a Maria para morar lá perto. Um belo dia... - JOAQUIMM!! JOAQUIM JOSÉ!!! Tua esposa está na tua casa na cama com outro cara!!! Corra lá! - O que esta gaja prostituta está a fazer com este paneleiro! Vou pegar a peixeira e a garrucha e vou lá acabar com isso de uma vez!!! E lá foi o gajo... 5 minutos depois volta o gajo feliz e contente... - Joaquim! Você matou o cara?!? - Não... O gajo se enganou... Não era outro, mas o mesmo de sempre!!!",481,70,551,6.774647887323944,o joaquim quando mandou trazer a maria pelo correio para o brasil. abriu um boteco na praca maua e colocou a maria para morar la perto. um belo dia... - joaquimm!! joaquim jose!!! tua esposa esta na tua casa na cama com outro cara!!! corra la! - o que esta gaja prostituta esta a fazer com este paneleiro! vou pegar a peixeira e a garrucha e vou la acabar com isso de uma vez!!! e la foi o gajo... 5 minutos depois volta o gajo feliz e contente... - joaquim! voce matou o cara?!?,- nao... o gajo se enganou... nao era outro mas o mesmo de sempre!!!,94,14,32,10,True,True,0.6842105263157895
204,"O Manuel e a Maria vão ao jogo de futebol. Chegam super atrasados porque a Maria demorou séculos se arrumando. Quando entram no estádio, está para começar o segundo tempo. O Manuel pergunta a um dos torcedores: - Quanto está o jogo? - Zero a zero. ",E a Maria: - Estás a veire? Chegamos a tempo!,"O Manuel e a Maria vão ao jogo de futebol. Chegam super atrasados porque a Maria demorou séculos se arrumando. Quando entram no estádio, está para começar o segundo tempo. O Manuel pergunta a um dos torcedores: - Quanto está o jogo? - Zero a zero. E a Maria: - Estás a veire? Chegamos a tempo!",248,45,293,5.391304347826087,o manuel e a maria vao ao jogo de futebol. chegam super atrasados porque a maria demorou seculos se arrumando. quando entram no estadio esta para comecar o segundo tempo. o manuel pergunta a um dos torcedores - quanto esta o jogo? - zero a zero.,e a maria - estas a veire? chegamos a tempo!,46,10,7,3,True,True,0.7659574468085106
